Vnum	LocalizedName
14035	مخيم التدريب
14036	مخيم التدريب
14037	مخيم التدريب
14038	مخيم التدريب
14039	مخيم التدريب
14040	فرن
14041	فرن
14042	فرن
14043	فرن
14044	فرن
14045	فرن
14046	فرن
14047	فرن
14048	فرن
14049	فرن
20001	الكيميائي
20002	أرانيو
20003	اه-يو
20004	متسوّل
20005	يوناه
20006	ميريني
20007	أمين المستودع
20008	اكتافيو
20009	رجل عجوز
20010	بائع متجول
20011	أوريل
20012	يو-رانغ
20013	صيّاد
20014	طاوران
20015	دوكبي
20016	الحداد
20017	يو-هوان
20018	بايك-غو
20019	يانغ-شين
20020	بلسو الخائن
20021	أريونغ
20022	هوان-سو
20023	سون
20024	هارنغ
20025	.
20026	جي-ريو
20027	غيليان
20028	أخ ميريني
20029	مهر
20030	حصان
20031	مُوزع الهدايا
20032	شجرة الميلاد
20033	شجرة الميلاد
20034	شجرة الميلاد
20035	علم
20036	علم
20037	علم
20038	..
20039	.
20040	مدير قطعة أرض
20041	مواطن سكران
20042	بائع متجول
20043	.
20044	حداد الأسلحة
20045	حداد الدروع
20046	جواهري
20047	عرق الماس
20048	عرق كهرمان
20049	عرق الخشب الأحفوري
20050	عرق النحاس
20051	عرق الفضّة
20052	عرق الذهب
20053	عرق اليشم
20054	عرق خشب اّبنوس
20055	كومة صدف
20056	عرق ذهب أبيض
20057	عرق كريستال
20058	عرق الكوارتز
20059	عرق دموع السماء
20060	كيميائي الماس
20061	كيميائي الكهرمان
20062	كيميائي الخشب الأحفوري
20063	كيميائي النحاس
20064	كيميائي الفضة
20065	كيميائي الذهب
20066	كيميائي اليشم
20067	كيميائي خشب الاّبنوس
20068	كيميائي اللؤلؤ
20069	كيميائي الذهب الأبيض
20070	كيميائي الكريستال
20071	كيميائي جمشت
20072	كيميائي دموع السماء
20073	ختم عتيق
20074	حداد أسلحة البرج
20075	حداد دروع البرج
20076	جواهري البرج
20077	حارس المذبح
20078	حارس المذبح
20079	حارس المذبح
20080	قائد تدريب
20081	ختم الممر المسروق
20082	سيد
20083	جغال-تنسوك
20084	شايغراب البيولوجي
20085	جمجنجة
20086	هندو-أب
20087	وندا-ريم
20088	شك-سال
20089	بنغ-هو
20090	هوك-يونغ
20091	سيون-بيونغ
20092	هوا-هي
20093	كو-بنغ
20094	هونغ-هاي
20095	سيون-هاي
20096	مسلة
20097	بوابة القلعة
20098	بوابة القلعة
20099	بوابة القلعة
20101	حصان أبيض
20102	حصان بني
20103	حصان أسود
20104	حصان أبيض
20105	حصان بني
20106	حصان أسود
20107	حصان أبيض
20108	حصان بني
20109	حصان أسود
20110	خنزير بري
20111	ذئب
20112	نمر
20113	أسد
20114	white lion
20115	ضبع مفترس حربي
20116	ذئب مشاكس
20117	نمر العاصفة
20118	أسد المعارك
20119	الأدهم الأصيل
20120	أ»ہاہü°©ب£
20121	ءّہûہاہü°©ب£
20122	ب²ہاہü°©ب£
20123	³ىہاہü°©ب£
20124	بوہاہü°©ب£
20125	¹éہاہü°©ب£
20126	مُوزع الهدايا
20201	ہü°©؟ّ
20202	ہü°©¶û
20203	ہü°©ب£
20204	ہü°©»çہع
20205	³­ئّار ہü°©؟ّ
20206	³­ئّار ہü°©¶û
20207	³­ئّار ہü°©ب£
20208	³­ئّار ہü°©»çہع
20209	؟ë¸حار ہü°©؟ّ
20210	؟ë¸حار ہü°©¶û
20211	؟ë¸حار ہü°©ب£
20212	؟ë¸حار ہü°©»çہع
20213	ہü°©¼‎¼ّ·د
20214	³­ئّار ہü°©¼‎¼ّ·د
20215	؟ë¸حار ہü°©¼‎¼ّ·د
20216	ہü°©¾د¼ّ·د
20217	³­ئّار ہü°©¾د¼ّ·د
20218	؟ë¸حار ہü°©¾د¼ّ·د
20219	blackpony
20220	إ©¸®½؛¸¶½؛ ¼ّ·د
20221	ہü°©¹é؟ُ
20222	ہü°©ئز´ُ
20223	ہü°©¼®·وہع
20224	³­ئّار ہü°©¼®·وہع
20225	؟ë¸حار ہü°©¼®·وہع
20226	بوہ¯´دؤـ
20227	¹éہ¯´دؤـ
20300	أستاذ المصارعة
20301	أستاذ القتال الذهني
20302	أستاذ القتال عن قرب
20303	أستاذ القتال عن بعد
20304	أستاذ السلاح السّحري
20305	أستاذ السّحر الأسود
20306	أستاذ قوة التّنين
20307	أستاذ الشفاء
20320	أستاذ مصارعة
20321	أستاذ القتال الذهني
20322	أستاذ القتال عن قرب
20323	أستاذ القتال عن بعد
20324	أستاذ السلاح السّحري
20325	أستاذ السّحر الأسود
20326	أستاذ قوة التّنين
20327	أستاذ الشفاء
20340	أستاذ مصارعة
20341	أستاذ القتال الذهني
20342	أستاذ القتال عن قرب
20343	أستاذ القتال عن بعد
20344	أستاذ السلاح السّحري
20345	أستاذ السّحر الأسود
20346	أستاذ قوة التّنين
20347	أستاذ الشفاء
20348	حارس برج الشياطين
20349	صبي الإسطبل
20350	حارس البرج المحصن
20351	حارس الصالات
20352	تمثال هاسون الحجري
20353	تمثال سول رونغ  الحجري
20354	حارس المدينة
20355	الزعيم
20356	جامع جينسنغ
20357	تمثال فيول
20358	أزهار دون أسماء
20359	صندوق قديم يحتوي أوراق
20360	تمثال واها
20361	تمثال سو
20362	تمثال موك
20363	تمثال غم
20364	ناكاجيما
20365	تمثال تو
20366	سا-سو
20367	حارس السرداب
20368	بائع متجول
20369	لي شونغ
20370	جندي متسمم
20371	صخرة قبر قديم
20372	لوح حجري قديم
20373	حارس شخصي
20374	حارس
20375	متراس خشبي
20376	كيم ريم
20377	ياك هووان
20378	أدميرال أنغمور
20379	جندي جريح
20380	يوناي والكر
20381	كونفوشيوس
20382	زهرة الجرف
20383	جاي-سيون كيم
20384	شجرة الميلاد
20385	غارُ آم-هي
20386	ألواح الزفت
20387	قفل الأقدار
20388	باب التنين
20389	NoNAme
20390	صخرة قبر تارامور
20391	أعشاب شمسية
20392	جندي ميّت
20393	جندي مُصاب
20394	حارس أرض النار
20395	حارس البلاد الجليدية
30000	°³ہخ»َء،
30001	°³ہخ»َء،
30101	تمثال الكود
30102	بازالت-أوبيليسك
30103	فروة السلحفاة
30104	عمود الأطلال
30111	1. بوابة اللعنة
30112	2. بوابة اللعنة
30113	3. بوابة اللعنة
30114	4. بوابة اللعنة
30115	5. بوابة اللعنة
30116	6. بوابة اللعنة
30117	7. بوابة اللعنة
30118	8. بوابة اللعنة
30119	9. بوابة اللعنة
30120	كيس الأعشاب
30121	شبح سورا
30122	شبح محارب
30123	مقام الظلام
30124	هيكل سورا 1
30125	هيكل سورا 2
30126	هيكل سورا 3
30127	هيكل سورا 4
30128	هيكل سورا 5
30129	أرنب البيض
30130	صخرة قبر قديم
30301	عرق بلور الروح
30302	عرق الياقوت
30303	عرق العقيق
30304	عرق الزمرد
30305	عرق الياقوت الأزرق
33001	¸ًاè°،ہا اط°ٌ
33002	المؤرخ
33003	فقير جائع
33004	فقير جائع
33005	فقير جائع
33006	فقير جائع
33007	فقير جائع
33008	مهووس القرع
33009	مذبح الدم
33010	Rubin Alchemist [NEEDS TRANSLATION]
33011	Garnet Alchemist [NEEDS TRANSLATION]
33012	Smaragd Alchemist [NEEDS TRANSLATION]
33013	Sapphire Alchemist [NEEDS TRANSLATION]
34001	عنقاء النار
34002	صغير الرنة
34003	عنقاء الثلج
34004	صغير فرعائيل
34005	بوركي
34006	روفوس
34007	خان
34008	ليونيداس
34009	صغير فرعائيل
34010	بامبي
34011	كنود
34012	باو باو
34013	جلاّد سمين
34014	جلاّد سمين (ذهبي)
34015	العظمي
34016	عنقاء اليشم
